#{"t_start": 1780583995.800923, "env_id": "None"}
r,l,t
-41.770831,87,4214.995645
-41.178558,97,4216.132624
25.292518,157,4218.040607
106.721779,189,4220.132388
118.332449,576,4227.101841
412.477353,644,4234.533199
176.811958,342,4238.415788
895.062862,1000,4250.245116
27.029335,158,4252.062016
-39.940604,107,4253.429123
229.110758,395,4258.044827
460.876718,695,4265.713624
820.064567,1000,4277.30798
-66.044567,54,4278.024869
1024.011322,1000,4289.082083
795.851059,1000,4300.467565
180.993495,437,4305.143929
832.394485,1000,4316.373532
133.291013,258,4319.418862
2.935795,117,4320.856835
62.096316,293,4324.109302
135.672406,289,4327.282131
234.912476,422,4332.407132
88.513254,231,4335.116807
925.82221,1000,4346.270191
279.025001,462,4351.908431
911.075034,1000,4363.733749
19.761594,139,4365.323022
-31.327413,100,4366.460768
241.840912,430,4371.281819
102.546193,345,4375.113107
313.174675,554,4381.489527
440.508172,656,4390.0475
-11.926544,128,4391.510468
120.757838,309,4394.948558
54.19546,205,4397.145008
35.329951,191,4399.492543
924.200707,999,4411.453613
-49.571344,80,4412.370385
273.049339,509,4417.935272
53.198237,200,4420.5426
756.671283,1000,4431.279155
632.2877,935,4442.541012
193.310337,350,4446.695234
249.770589,440,4451.796235
803.264996,1000,4463.012107
-39.469361,90,4464.105208
332.038494,534,4470.035222
99.280305,196,4472.646059
601.677616,798,4482.261529
53.775559,213,4484.745011
562.918554,756,4493.126332
167.325858,352,4497.819142
-24.573783,97,4499.013436
17.494911,153,4500.726658
10.469911,155,4502.436947
130.648369,334,4506.46219
236.840109,415,4511.347511
-5.075644,130,4512.989467
129.4656,355,4517.407393
98.620529,359,4521.216983
