#{"t_start": 1779607121.6445966, "env_id": "None"}
r,l,t
112.103177,1000,5183.346023
158.214226,1000,5192.235117
-161.369505,284,5195.365446
-53.24886,845,5202.664531
158.934912,1000,5212.027602
-225.788347,387,5215.480989
-10.470207,1000,5224.146951
83.248327,1000,5233.457978
-149.137775,787,5240.403206
-175.510269,169,5241.890627
-151.430054,360,5244.982064
-208.876111,216,5246.829433
-88.1455,663,5253.593101
197.639491,1000,5262.342546
-166.746474,275,5264.674089
-66.929268,651,5271.11107
30.366885,1000,5280.120872
211.181624,1000,5289.606315
-156.244047,323,5292.526367
105.084167,1000,5301.604467
150.516477,1000,5311.512528
8.835378,1000,5320.196776
-173.376227,181,5321.819462
-136.966201,724,5329.042391
-182.620894,131,5330.168075
111.289316,1000,5338.989955
-69.911248,608,5345.204289
147.127044,1000,5353.92214
72.524215,1000,5363.295478
50.90814,1000,5372.278807
132.856837,1000,5381.731678
-80.569645,833,5389.266509
-212.617793,773,5396.261434
-36.728997,1000,5405.649026
131.940691,1000,5414.45329
153.773681,1000,5423.975482
-197.032555,72,5424.614137
-140.077803,462,5428.626938
-167.091509,253,5431.221635
-182.797424,271,5433.604283
-199.531887,298,5436.227629
115.091672,1000,5445.762562
25.722073,1000,5454.458065
-169.105371,240,5457.277508
10.047476,1000,5466.322033
-157.168497,1000,5475.892846
-286.485099,787,5482.610894
34.410677,1000,5491.675454
171.530396,1000,5500.812223
-176.628628,330,5503.588379
123.230978,1000,5513.126338
10.587993,1000,5522.031964
-127.24341,601,5527.447998
-197.878499,1000,5536.441962
-163.484305,377,5539.828159
62.482326,1000,5548.537331
62.488028,1000,5558.547699
97.448992,1000,5567.432345
66.363311,1000,5577.244031
-138.668672,446,5581.568183
-81.211896,773,5588.886818
171.118207,1000,5597.358943
134.300209,1000,5606.500997
153.474304,1000,5615.728363
219.155601,1000,5624.474128
179.908306,1000,5633.851336
56.64439,1000,5642.654232
-71.898806,787,5649.869674
9.454602,1000,5658.492649
-11.805125,1000,5668.425092
17.625739,1000,5677.33989
12.753441,1000,5686.757377
92.223573,1000,5695.515189
26.632354,1000,5705.01243
31.621676,1000,5714.327059
88.207016,1000,5723.762587
146.664433,1000,5732.957945
-187.640566,141,5734.163893
-21.643398,1000,5743.476671
37.700554,1000,5752.398117
34.625777,1000,5761.577973
-159.346119,194,5763.187572
-164.767621,240,5765.177452
210.241462,1000,5774.273824
159.767084,1000,5783.882191
26.616583,1000,5792.593863
-363.690268,1000,5801.744018
35.573431,1000,5810.496063
-174.209149,156,5812.74064
98.974589,1000,5821.466768
-166.3318,1000,5829.953193
-150.709048,427,5834.584227
-23.443042,1000,5843.103734
-100.563486,1000,5852.603134
-19.983319,1000,5861.326132
-189.813383,90,5862.073862
74.211264,1000,5871.449177
-7.026302,1000,5880.454885
-0.090457,1000,5889.676784
25.098791,1000,5898.539786
75.70232,1000,5907.599766
-51.32127,1000,5916.448144
-142.294298,1000,5925.609185
3.326326,1000,5934.108565
69.742795,1000,5943.895161
-261.720867,1000,5953.00868
-24.745503,1000,5962.194825
-99.063062,596,5967.90105
59.159796,1000,5977.049657
138.41939,1000,5986.265203
67.585487,1000,5995.088949
-1.037984,1000,6005.334094
-3.159059,1000,6014.140611
98.242109,1000,6023.689935
-22.88469,1000,6032.87043
180.947878,1000,6042.209292
-8.364853,1000,6051.062728
103.107766,1000,6060.725907
-195.336427,159,6062.159177
-58.196057,1000,6070.727171
-112.66291,380,6074.104894
35.705235,1000,6083.323638
-59.828611,801,6090.749658
-18.728983,1000,6101.097181
87.421975,1000,6109.83677
-2.98922,1000,6119.56188
121.041499,1000,6128.289089
26.48675,1000,6137.460895
38.604057,1000,6146.180057
116.18642,1000,6156.131651
13.661099,1000,6165.021327
-4.875409,1000,6174.755097
-156.486734,281,6177.377978
71.850359,1000,6186.371036
19.970298,1000,6195.187224
-203.544837,1000,6203.482936
204.51213,1000,6212.961628
187.682756,1000,6221.620577
34.266717,1000,6230.956754
-33.582695,1000,6240.155861
58.698764,1000,6249.553609
8.311513,1000,6259.607847
96.650607,1000,6269.369919
200.800318,1000,6278.034953
190.099047,1000,6287.373761
2.136607,1000,6296.319682
5.751796,1000,6305.778745
-52.773004,1000,6314.258321
68.71506,1000,6324.261015
5.050126,1000,6333.016604
-35.396112,1000,6342.294781
254.534889,1000,6351.028133
56.656098,1000,6361.018598
-8.844299,1000,6369.64348
-76.725838,519,6374.283665
-270.127639,1000,6383.833511
-27.224028,1000,6392.604628
-92.326263,1000,6402.248983
-104.328421,1000,6411.01001
-53.312394,1000,6420.338367
-172.689124,564,6425.389633
-52.834926,1000,6434.843535
0.598304,1000,6443.315536
52.233856,1000,6452.465508
44.158886,1000,6461.661169
140.990985,1000,6470.751095
107.441673,1000,6479.753734
61.839153,1000,6489.305882
-201.757774,102,6490.269814
-55.58438,1000,6499.203874
-160.275072,1000,6509.625829
-208.885479,282,6512.177856
193.274623,1000,6521.122237
-3.476621,1000,6530.412689
-256.114103,1000,6539.263386
43.070525,1000,6548.417274
43.609062,1000,6557.579868
-181.775864,206,6559.356951
-11.928162,1000,6568.781764
-66.112458,1000,6577.234024
80.385042,1000,6587.21676
-57.440014,1000,6595.818262
27.272549,1000,6605.440694
-4.191757,1000,6614.06398
24.441158,1000,6623.335832
155.332527,1000,6632.55609
-190.553702,116,6633.620221
-238.620655,399,6637.366374
-173.864655,354,6641.061508
177.622776,1000,6649.892736
-263.016724,1000,6659.497279
-19.772648,1000,6667.775286
-378.129564,1000,6677.037898
-64.52999,1000,6685.736691
26.606563,1000,6695.405849
152.147607,1000,6704.423251
-432.493438,1000,6712.784256
146.621329,1000,6722.827589
-38.087944,1000,6732.032144
163.447503,1000,6741.763845
-24.33241,1000,6751.093696
-156.383388,196,6753.599235
94.203995,1000,6762.257926
185.39825,1000,6771.527466
19.481044,1000,6780.877904
55.499209,1000,6789.635291
195.039194,1000,6799.07349
-26.602567,1000,6807.443521
26.16698,1000,6816.884909
24.271185,1000,6825.798084
-61.28752,1000,6835.642216
-50.785773,1000,6844.104182
11.552111,1000,6852.977143
91.057116,1000,6861.578181
75.25743,1000,6871.0824
-117.82963,1000,6879.983992
3.013301,1000,6889.043406
35.321736,1000,6897.741109
150.06183,1000,6907.771691
56.30125,1000,6916.638518
-7.736883,1000,6925.819289
-75.365791,1000,6934.999061
128.652436,1000,6944.601623
5.355441,1000,6952.817449
35.222149,1000,6962.435651
77.181263,1000,6970.869649
26.562147,1000,6980.297484
34.974784,1000,6989.505441
159.238385,1000,6999.276928
90.629817,1000,7007.709306
66.870184,1000,7017.218012
20.662554,1000,7026.465755
223.940607,1000,7035.747682
32.044062,1000,7044.106491
-64.278312,1000,7053.315057
195.480743,1000,7062.099399
69.394053,1000,7071.18135
-143.74522,308,7073.905133
